res_70.txt
flowradar: 平均测试周期数 = 4482.00, 平均测试吞吐量 = 0.33, 平均测试吞吐量 = 1867.50
mvsketch: 平均测试周期数 = 3562.75, 平均测试吞吐量 = 0.44, 平均测试吞吐量 = 1484.48
nitrosketch: 平均测试周期数 = 3699.50, 平均测试吞吐量 = 0.42, 平均测试吞吐量 = 1541.46
res_1500.txt
CBF: 平均测试周期数 = 2259.62, 平均测试吞吐量 = 22.96, 平均测试吞吐量 = 941.51
CM: 平均测试周期数 = 3923.00, 平均测试吞吐量 = 9.84, 平均测试吞吐量 = 1634.58
CS: 平均测试周期数 = 4840.25, 平均测试吞吐量 = 7.53, 平均测试吞吐量 = 2016.77
SlidingSketch: 平均测试周期数 = 6723.50, 平均测试吞吐量 = 5.03, 平均测试吞吐量 = 2801.46
UnivMon: 平均测试周期数 = 14802.62, 平均测试吞吐量 = 2.08, 平均测试吞吐量 = 6167.76
elastic: 平均测试周期数 = 2205.12, 平均测试吞吐量 = 23.62, 平均测试吞吐量 = 918.80
flowradar: 平均测试周期数 = 3168.38, 平均测试吞吐量 = 13.05, 平均测试吞吐量 = 1320.16
mvsketch: 平均测试周期数 = 3436.62, 平均测试吞吐量 = 12.00, 平均测试吞吐量 = 1431.93
nitrosketch: 平均测试周期数 = 3569.12, 平均测试吞吐量 = 11.33, 平均测试吞吐量 = 1487.14
res_95.txt
CBF: 平均测试周期数 = 4312.62, 平均测试吞吐量 = 0.54, 平均测试吞吐量 = 1796.93
CM: 平均测试周期数 = 4334.50, 平均测试吞吐量 = 0.54, 平均测试吞吐量 = 1806.04
CS: 平均测试周期数 = 6519.50, 平均测试吞吐量 = 0.33, 平均测试吞吐量 = 2716.46
SlidingSketch: 平均测试周期数 = 9901.75, 平均测试吞吐量 = 0.21, 平均测试吞吐量 = 4125.73
UnivMon: 平均测试周期数 = 9649.38, 平均测试吞吐量 = 0.21, 平均测试吞吐量 = 4020.57
elastic: 平均测试周期数 = 2509.12, 平均测试吞吐量 = 1.18, 平均测试吞吐量 = 1045.47
flowradar: 平均测试周期数 = 5355.75, 平均测试吞吐量 = 0.44, 平均测试吞吐量 = 2231.56
mvsketch: 平均测试周期数 = 3694.62, 平均测试吞吐量 = 0.73, 平均测试吞吐量 = 1539.43
nitrosketch: 平均测试周期数 = 3699.50, 平均测试吞吐量 = 0.67, 平均测试吞吐量 = 1541.46
